Ticker,community,page_rank,betweenness
GOOGL,212,0.6316640306134856,0.0
GPC,138,0.30000000000000004,0.0
GWW,280,0.753626467328534,125.0
HAS,140,0.30000000000000004,0.0
HBAN,280,1.437778868441487,74.81636409007587
HCA,307,0.9992020773370239,0.0
HD,183,0.9842695731096328,76.51503770564457
HIG,181,1.2416427327169703,229.20196200146466
HII,145,0.30000000000000004,0.0
HOLX,146,0.30000000000000004,0.0
HON,147,0.30000000000000004,0.0
HPE,148,0.30000000000000004,0.0
HST,280,0.8138878653864114,12.19513935461083
HSY,150,0.30000000000000004,0.0
HUBB,280,1.1020289148816154,270.24172072369146
HUM,152,0.30000000000000004,0.0
ICE,153,0.30000000000000004,0.0
IDXX,154,0.30000000000000004,0.0
IEX,280,0.779242273419048,9.047033763876346
ILMN,156,0.30000000000000004,0.0
